method,sample_id,true_Shannon_specific,predicted_Shannon_specific,Shannon_signed_error,Shannon_absolute_error,n_shallow_repeats
Random Forest,SRS2821816,3.174848225895889,3.074578982561288,-0.10026924333460077,0.10026924333460077,5
Random Forest,SRS2821824,3.4537163680090437,3.3432123578628037,-0.11050401014624,0.11050401014624,5
Random Forest,SRS2821835,2.7253114315116016,2.6570896394283436,-0.06822179208325788,0.06822179208325788,5
Random Forest,SRS2821843,3.379942388428442,3.2459043337054454,-0.13403805472299712,0.13403805472299712,5
Random Forest,SRS2821844,3.4805031286652524,3.3732907440846005,-0.10721238458065133,0.10721238458065133,5
Random Forest,SRS2821854,3.422749112640522,3.33349367212927,-0.08925544051125174,0.08925544051125174,5
Random Forest,SRS2821860,2.9598632000423652,2.8757070314716513,-0.08415616857071359,0.08415616857071359,5
Random Forest,SRS2821870,3.3197674260836236,3.2395507484202613,-0.0802166776633623,0.0802166776633623,5
Random Forest,SRS2821871,3.434337626242874,3.3431464148547456,-0.09119121138812858,0.09119121138812858,5
Random Forest,SRS2821875,3.2179023694310005,3.1063939480929084,-0.11150842133809169,0.11150842133809169,5
Random Forest,SRS2821881,2.5284546435717288,2.4998315276213345,-0.028623115950393973,0.02891395972445281,5
Random Forest,SRS2821890,3.2880674917812507,3.22785984842812,-0.06020764335313071,0.06020764335313071,5
Random Forest,SRS2821892,3.450241682393245,3.3651983650393946,-0.08504331735385104,0.08504331735385104,5
Random Forest,SRS2821893,3.2783868350618013,3.2132895223983824,-0.06509731266341925,0.06509731266341925,5
Random Forest,SRS2821894,2.9487470361045385,2.900783403175424,-0.04796363292911456,0.04796363292911456,5
Random Forest,SRS2821901,3.090178040670294,2.9836343267063117,-0.10654371396398243,0.10654371396398243,5
Random Forest,SRS2821905,2.3639771050524616,2.2743556550232573,-0.08962145002920448,0.08962145002920448,5
Random Forest,SRS2821908,2.453441032208195,2.3389850975893465,-0.11445593461884859,0.11445593461884859,5
Random Forest,SRS2821916,2.578932471189274,2.4959566852164277,-0.08297578597284624,0.08297578597284624,5
Random Forest,SRS2821919,3.115879903888599,3.0130887201420427,-0.10279118374655667,0.10279118374655667,5
Random Forest,SRS2821925,2.3384173215938433,2.344616958696115,0.006199637102271715,0.016337051218638977,5
Random Forest,SRS2821928,3.4164346339162313,3.3407309177038664,-0.07570371621236527,0.07570371621236527,5
Random Forest,SRS2821931,3.0526872981463375,2.9627727601603357,-0.0899145379860018,0.0899145379860018,5
Random Forest,SRS2821932,3.390980587522818,3.2739488720989782,-0.1170317154238397,0.1170317154238397,5
Random Forest,SRS2821946,2.6444980510980605,2.6134012062916576,-0.031096844806402756,0.03943568496647689,5
Random Forest,SRS2821968,3.032601993006085,2.9665649008362167,-0.06603709216986822,0.06603709216986822,5
Random Forest,SRS2821969,2.4320319922418987,2.3305191769741387,-0.10151281526776001,0.10151281526776001,5
Random Forest,SRS2821970,3.4657580878589256,3.3674590827939013,-0.0982990050650245,0.0982990050650245,5
